入門（にゅうもん）
トピック 3 たべもの
335 洗います あらいます 12
336 満足します まんぞくします 12
トピック 7 歴史と文化の町
337 京都 きょうと 13
338 神社 じんじゃ 13
339 お寺 おてら 13
340 仏教 ぶっきょう 13
341 歴史 れきし 13
342 世界 せかい 13
343 中心 ちゅうしん 13
344 ～世紀（８世紀） ～せいき（はっせいき） 13
345 ～的 ～てき 13
346 日本的 にほんてき 13
347 歴史的 れきしてき 13
348 飲食 いんしょく 14
349 禁止 きんし 14
350 説明 せつめい 14
351 道具 どうぐ 14
352 博物館 はくぶつかん 14
353 必要 ひつよう 14
354 ～階（２階） ～かい（にかい） 14
トピック 8 せいかつとエコ
355 油 あぶら 15
356 紙 かみ 15
357 温度 おんど 15
358 活動 かつどう 15
359 会議室 かいぎしつ 15
360 寒い さむい 15
361 出します だします 15
362 ～度（28 度） ～ど（にじゅうはちど） 15
363 ～点（100 点） ～てん（ひゃくてん） 15
364 服 ふく 16
365 自転車 じてんしゃ 16
366 自動車 じどうしゃ 16
367 売ります うります 16
368 貸します かします 16
369 返します かえします 16
370 変わります かわります 16
371 ～用 ～よう 16
372 子ども用 こどもよう 16
トピック 9 人生
373 人生 じんせい 17
374 歌手 かしゅ 17
375 選手 せんしゅ 17
376 画家 がか 17
377 作家 さっか 17
378 入学 にゅうがく 17
379 卒業 そつぎょう 17
380 病気 びょうき 17
381 若い わかい 17
382 生まれます うまれます 17
383 思い出 おもいで 18
384 生活 せいかつ 18
385 映画 えいが 18
386 夫 おっと 18
387 妻 つま 18
388 両親 りょうしん 18
389 不便 ふべん 18
390 選びます えらびます 18
391 寝ます ねます 18
